"Refactoring Type","W1","W2","Total","% of Total"
"Add Method Modifier","539","0","539","35.58"
"Add Attribute Modifier","345","1","346","22.84"
"Add Class Annotation","139","5","144","9.5"
"Change Parameter Type","93","2","95","6.27"
"Add Method Annotation","47","5","52","3.43"
"Change Attribute Type","36","10","46","3.04"
"Replace Generic With Diamond","19","8","27","1.78"
"Change Variable Type","17","4","21","1.39"
"Remove Attribute Annotation","10","10","20","1.32"
"Extract Variable","18","1","19","1.25"
"Extract Method","11","8","19","1.25"
"Try With Resources","16","0","16","1.06"
"Change Return Type","12","4","16","1.06"
"Add Attribute Annotation","5","10","15","0.99"
"Remove Method Modifier","14","0","14","0.92"
"Change Method Access Modifier","10","1","11","0.73"
"Rename Variable","10","1","11","0.73"
"Add Variable Annotation","9","0","9","0.59"
"Remove Parameter","9","0","9","0.59"
"Change Thrown Exception Type","8","0","8","0.53"
"Remove Thrown Exception Type","6","1","7","0.46"
"Inline Method","5","2","7","0.46"
"Rename Parameter","4","2","6","0.4"
"Add Parameter","4","0","4","0.26"
"Move Source Folder","2","2","4","0.26"
"Extract Attribute","2","2","4","0.26"
"Replace Variable With Attribute","3","1","4","0.26"
"Remove Variable Annotation","2","1","3","0.2"
"Rename Method","2","1","3","0.2"
"Modify Method Annotation","2","1","3","0.2"
"Inline Attribute","1","1","2","0.13"
"Add Parameter Annotation","2","0","2","0.13"
"Invert Condition","2","0","2","0.13"
"Parameterize Attribute","1","1","2","0.13"
"Change Class Access Modifier","2","0","2","0.13"
"Modify Variable Annotation","2","0","2","0.13"
"Remove Attribute Modifier","2","0","2","0.13"
"Parameterize Variable","2","0","2","0.13"
"Add Variable Modifier","2","0","2","0.13"
"Extract And Move Method","2","0","2","0.13"
"Remove Class Annotation","0","1","1","0.07"
"Remove Parameter Modifier","1","0","1","0.07"
"Replace Attribute With Variable","1","0","1","0.07"
"Add Parameter Modifier","1","0","1","0.07"
"Replace Anonymous With Lambda","1","0","1","0.07"
"Split Conditional","1","0","1","0.07"
"Rename Attribute","1","0","1","0.07"
"Inline Variable","1","0","1","0.07"
"Localize Parameter","1","0","1","0.07"
"Change Attribute Access Modifier","1","0","1","0.07"
"Merge Conditional","1","0","1","0.07"
"Merge Catch","1","0","1","0.07"
"Parameterize Test","1","0","1","0.07"
"Split Method","0","0","0","0"
"Move Code","0","0","0","0"
"Change Type Declaration Kind","0","0","0","0"
"Modify Parameter Annotation","0","0","0","0"
"Extract Package","0","0","0","0"
"Pull Up Attribute","0","0","0","0"
"Modify Attribute Annotation","0","0","0","0"
"Move And Rename Class","0","0","0","0"
"Remove Variable Modifier","0","0","0","0"
"Add Thrown Exception Type","0","0","0","0"
"Split Attribute","0","0","0","0"
"Extract Class","0","0","0","0"
"Replace Attribute","0","0","0","0"
"Reorder Parameter","0","0","0","0"
"Replace Conditional With Ternary","0","0","0","0"
"Move Package","0","0","0","0"
"Extract Fixture","0","0","0","0"
"Modify Class Annotation","0","0","0","0"
"Rename Class","0","0","0","0"
"Extract Subclass","0","0","0","0"
"Merge Class","0","0","0","0"
"Pull Up Method","0","0","0","0"
"Merge Parameter","0","0","0","0"
"Split Class","0","0","0","0"
"Merge Package","0","0","0","0"
"Split Parameter","0","0","0","0"
"Move And Rename Method","0","0","0","0"
"Rename Package","0","0","0","0"
"Replace Anonymous With Class","0","0","0","0"
"Add Class Modifier","0","0","0","0"
"Merge Attribute","0","0","0","0"
"Move And Rename Attribute","0","0","0","0"
"Split Variable","0","0","0","0"
"Push Down Attribute","0","0","0","0"
"Split Try","0","0","0","0"
"Collapse Hierarchy","0","0","0","0"
"Remove Parameter Annotation","0","0","0","0"
"Replace Lambda With Anonymous","0","0","0","0"
"Move Class","0","0","0","0"
"Remove Method Annotation","0","0","0","0"
"Merge Method","0","0","0","0"
"Replace Pipeline With Loop","0","0","0","0"
"Assert Throws","0","0","0","0"
"Move Method","0","0","0","0"
"Push Down Method","0","0","0","0"
"Move And Inline Method","0","0","0","0"
"Extract Interface","0","0","0","0"
"Encapsulate Attribute","0","0","0","0"
"Move Attribute","0","0","0","0"
"Remove Class Modifier","0","0","0","0"
"Split Package","0","0","0","0"
"Merge Variable","0","0","0","0"
"Extract Superclass","0","0","0","0"
"Replace Loop With Pipeline","0","0","0","0"
