Project,Window,Commit SHA,Full SHA,Commit URL,Refactoring Type,Description,Affected Code Entities,File Path,Code Location
Apache Ant,W2 (Post-release),114228d3,114228d3072311da73310182829c4bef8b0614fc,https://github.com/apache/ant/commit/114228d3072311da73310182829c4bef8b0614fc,Change Variable Type,Change Variable Type noLinks : ArrayList<String> to noLinks : String[] in method private scandir(dir...,noLinks : String[],src/main/org/apache/tools/ant/DirectoryScanner.java,Production Code
Apache Ant,W2 (Post-release),114228d3,114228d3072311da73310182829c4bef8b0614fc,https://github.com/apache/ant/commit/114228d3072311da73310182829c4bef8b0614fc,Change Variable Type,Change Variable Type al : List<TokenizedPattern> to al : TokenizedPattern[] in method private fillNo...,al : TokenizedPattern[],src/main/org/apache/tools/ant/DirectoryScanner.java,Production Code
Apache Ant,W2 (Post-release),3275173a,3275173a3d712306c878fca57ed221fd5051eb83,https://github.com/apache/ant/commit/3275173a3d712306c878fca57ed221fd5051eb83,Add Variable Modifier,"Add Variable Modifier final in variable toCopy : String[] in method protected buildMap(fromDir File,...","toCopy : String[]; protected buildMap(fromDir File, toDir File, names String[], mapper FileNameMappe...",src/main/org/apache/tools/ant/taskdefs/Copy.java,Production Code
Apache Ant,W2 (Post-release),3275173a,3275173a3d712306c878fca57ed221fd5051eb83,https://github.com/apache/ant/commit/3275173a3d712306c878fca57ed221fd5051eb83,Change Variable Type,"Change Variable Type v : List<String> to v : String[] in method protected buildMap(fromDir File, toD...",v : String[],src/main/org/apache/tools/ant/taskdefs/Copy.java,Production Code
Apache Ant,W2 (Post-release),3275173a,3275173a3d712306c878fca57ed221fd5051eb83,https://github.com/apache/ant/commit/3275173a3d712306c878fca57ed221fd5051eb83,Add Variable Modifier,Add Variable Modifier final in variable toCopy : Resource[] in method protected buildMap(fromResourc...,"toCopy : Resource[]; protected buildMap(fromResources Resource[], toDir File, mapper FileNameMapper)...",src/main/org/apache/tools/ant/taskdefs/Copy.java,Production Code
Apache Ant,W2 (Post-release),3275173a,3275173a3d712306c878fca57ed221fd5051eb83,https://github.com/apache/ant/commit/3275173a3d712306c878fca57ed221fd5051eb83,Change Variable Type,Change Variable Type v : List<Resource> to v : Resource[] in method protected buildMap(fromResources...,v : Resource[],src/main/org/apache/tools/ant/taskdefs/Copy.java,Production Code
Apache Ant,W1 (Pre-release),f7f3bdfa,f7f3bdfa033b2c77e001c2fc485bf200a682227d,https://github.com/apache/ant/commit/f7f3bdfa033b2c77e001c2fc485bf200a682227d,Extract Variable,Extract Variable trackerFile : Path in method private setupTrackerProperty(targetName String) : Path...,trackerFile : Path,src/tests/junit/org/apache/tools/ant/taskdefs/optional/junitlauncher/JUnitLauncherTaskTest.java,Test Code
Apache Ant,W1 (Pre-release),f7f3bdfa,f7f3bdfa033b2c77e001c2fc485bf200a682227d,https://github.com/apache/ant/commit/f7f3bdfa033b2c77e001c2fc485bf200a682227d,Extract Variable,Extract Variable forkDefinition : ForkDefinition in method public execute() : void from class org.ap...,forkDefinition : ForkDefinition,src/main/org/apache/tools/ant/taskdefs/optional/junitlauncher/confined/JUnitLauncherTask.java,Production Code
Apache Ant,W1 (Pre-release),f7f3bdfa,f7f3bdfa033b2c77e001c2fc485bf200a682227d,https://github.com/apache/ant/commit/f7f3bdfa033b2c77e001c2fc485bf200a682227d,Parameterize Variable,Parameterize Variable forkDefinition : ForkDefinition to forkDefinition : ForkDefinition in method p...,forkDefinition : ForkDefinition,src/main/org/apache/tools/ant/taskdefs/optional/junitlauncher/confined/JUnitLauncherTask.java,Production Code
Apache Ant,W1 (Pre-release),f7f3bdfa,f7f3bdfa033b2c77e001c2fc485bf200a682227d,https://github.com/apache/ant/commit/f7f3bdfa033b2c77e001c2fc485bf200a682227d,Add Parameter,Add Parameter forkedRepresentation : ForkedRepresentation in method private forkTest(test TestDefini...,"forkedRepresentation : ForkedRepresentation; private forkTest(test TestDefinition, forkDefinition Fo...",src/main/org/apache/tools/ant/taskdefs/optional/junitlauncher/confined/JUnitLauncherTask.java,Production Code
