Project,Window,Commit SHA,Full SHA,Commit URL,Refactoring Type,Description,Affected Code Entities,File Path,Code Location
Apache JMeter,W2 (Post-release),89c69b47,89c69b47d31d776553fb18b332b1314fbb4f742c,https://github.com/apache/jmeter/commit/89c69b47d31d776553fb18b332b1314fbb4f742c,Remove Class Annotation,Remove Class Annotation @AutoService(BackendListenerClient.class) in class org.apache.jmeter.visuali...,org.apache.jmeter.visualizers.backend.AbstractBackendListenerClient,src/components/src/main/java/org/apache/jmeter/visualizers/backend/AbstractBackendListenerClient.java,Production Code
Apache JMeter,W2 (Post-release),b15439e3,b15439e340b6c566fddc41874257d7a200455496,https://github.com/apache/jmeter/commit/b15439e340b6c566fddc41874257d7a200455496,Change Variable Type,Change Variable Type listClasses : List<String> to commandServices : Collection<Command> in method p...,commandServices : Collection<Command>,src/core/src/main/java/org/apache/jmeter/gui/action/ActionRouter.java,Production Code
Apache JMeter,W2 (Post-release),b15439e3,b15439e340b6c566fddc41874257d7a200455496,https://github.com/apache/jmeter/commit/b15439e340b6c566fddc41874257d7a200455496,Rename Variable,Rename Variable listClasses : List<String> to commandServices : Collection<Command> in method public...,commandServices : Collection<Command>,src/core/src/main/java/org/apache/jmeter/gui/action/ActionRouter.java,Production Code
Apache JMeter,W2 (Post-release),b15439e3,b15439e340b6c566fddc41874257d7a200455496,https://github.com/apache/jmeter/commit/b15439e340b6c566fddc41874257d7a200455496,Add Class Annotation,Add Class Annotation @JMeterService in class org.apache.jmeter.gui.action.Command,@JMeterService; org.apache.jmeter.gui.action.Command,src/core/src/main/java/org/apache/jmeter/gui/action/Command.java,Production Code
Apache JMeter,W2 (Post-release),f33e61ef,f33e61efc45dd0fd328393953aa4ea9144aa8162,https://github.com/apache/jmeter/commit/f33e61efc45dd0fd328393953aa4ea9144aa8162,Change Variable Type,Change Variable Type in : BufferedInputStream to in : InputStream in method protected readResponse(c...,in : InputStream,src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/sampler/HTTPJavaImpl.java,Production Code
Apache JMeter,W2 (Post-release),15284a83,15284a832b28bfe79c5348f4b81415c2b2563e4a,https://github.com/apache/jmeter/commit/15284a832b28bfe79c5348f4b81415c2b2563e4a,Change Attribute Type,Change Attribute Type iter : Iterator<JMeterProperty> to iter : Iterator<? extends JMeterProperty> i...,iter : Iterator<? extends JMeterProperty>,src/core/src/main/java/org/apache/jmeter/testelement/property/PropertyIteratorImpl.java,Production Code
Apache JMeter,W2 (Post-release),15284a83,15284a832b28bfe79c5348f4b81415c2b2563e4a,https://github.com/apache/jmeter/commit/15284a832b28bfe79c5348f4b81415c2b2563e4a,Extract Method,"Extract Method public PropertyIteratorImpl(owner TestElement, properties Iterable<? extends JMeterPr...","public PropertyIteratorImpl(owner TestElement, properties Iterable<? extends JMeterProperty>); publi...",src/core/src/main/java/org/apache/jmeter/testelement/property/PropertyIteratorImpl.java,Production Code
Apache JMeter,W2 (Post-release),15284a83,15284a832b28bfe79c5348f4b81415c2b2563e4a,https://github.com/apache/jmeter/commit/15284a832b28bfe79c5348f4b81415c2b2563e4a,Extract Variable,Extract Variable last : JMeterProperty in method public next() : JMeterProperty from class org.apach...,last : JMeterProperty,src/core/src/main/java/org/apache/jmeter/testelement/property/PropertyIteratorImpl.java,Production Code
Apache JMeter,W2 (Post-release),31e42426,31e42426238ec74e4f355baa927e55df780c3057,https://github.com/apache/jmeter/commit/31e42426238ec74e4f355baa927e55df780c3057,Add Method Annotation,"Add Method Annotation @SuppressWarnings(""deprecation"") in method public getThreadName() : String fro...","@SuppressWarnings(""deprecation""); public getThreadName() : String",src/core/src/main/java/org/apache/jmeter/testelement/AbstractTestElement.java,Production Code
Apache JMeter,W2 (Post-release),31e42426,31e42426238ec74e4f355baa927e55df780c3057,https://github.com/apache/jmeter/commit/31e42426238ec74e4f355baa927e55df780c3057,Add Method Annotation,"Add Method Annotation @SuppressWarnings(""deprecation"") in method public setThreadName(inthreadName S...","@SuppressWarnings(""deprecation""); public setThreadName(inthreadName String) : void",src/core/src/main/java/org/apache/jmeter/testelement/AbstractTestElement.java,Production Code
Apache JMeter,W2 (Post-release),31e42426,31e42426238ec74e4f355baa927e55df780c3057,https://github.com/apache/jmeter/commit/31e42426238ec74e4f355baa927e55df780c3057,Extract Method,Extract Method private setSamplerThreadName(sampler Sampler) : void extracted from private doSamplin...,private setSamplerThreadName(sampler Sampler) : void; private doSampling(threadContext JMeterContext...,src/core/src/main/java/org/apache/jmeter/threads/JMeterThread.java,Production Code
Apache JMeter,W2 (Post-release),ff5cb457,ff5cb45708b46e880759a933ae697ea7e77f2a68,https://github.com/apache/jmeter/commit/ff5cb45708b46e880759a933ae697ea7e77f2a68,Modify Method Annotation,"Modify Method Annotation @API(status = API.Status.EXPERIMENTAL, since = ""5.5.1"") to @API(status = AP...","@API(status = API.Status.EXPERIMENTAL, since = ""5.6""); public awaitTermination(duration Duration) : ...",src/core/src/main/java/org/apache/jmeter/engine/StandardJMeterEngine.java,Production Code
Apache JMeter,W2 (Post-release),cc7d677d,cc7d677da9395ff0ca6d407e739e99826cf274f4,https://github.com/apache/jmeter/commit/cc7d677da9395ff0ca6d407e739e99826cf274f4,Rename Method,Rename Method private getRawProperty(key String) : JMeterProperty renamed to public getPropertyOrNul...,public getPropertyOrNull(key String) : JMeterProperty,src/core/src/main/java/org/apache/jmeter/testelement/AbstractTestElement.java,Production Code
Apache JMeter,W2 (Post-release),cc7d677d,cc7d677da9395ff0ca6d407e739e99826cf274f4,https://github.com/apache/jmeter/commit/cc7d677da9395ff0ca6d407e739e99826cf274f4,Add Method Annotation,Add Method Annotation @Override in method public getPropertyOrNull(key String) : JMeterProperty from...,@Override; public getPropertyOrNull(key String) : JMeterProperty,src/core/src/main/java/org/apache/jmeter/testelement/AbstractTestElement.java,Production Code
Apache JMeter,W2 (Post-release),cc7d677d,cc7d677da9395ff0ca6d407e739e99826cf274f4,https://github.com/apache/jmeter/commit/cc7d677da9395ff0ca6d407e739e99826cf274f4,Add Method Annotation,"Add Method Annotation @API(status = API.Status.EXPERIMENTAL, since = ""5.6"") in method public getProp...","@API(status = API.Status.EXPERIMENTAL, since = ""5.6""); public getPropertyOrNull(key String) : JMeter...",src/core/src/main/java/org/apache/jmeter/testelement/AbstractTestElement.java,Production Code
Apache JMeter,W2 (Post-release),cc7d677d,cc7d677da9395ff0ca6d407e739e99826cf274f4,https://github.com/apache/jmeter/commit/cc7d677da9395ff0ca6d407e739e99826cf274f4,Change Method Access Modifier,Change Method Access Modifier private to public in method public getPropertyOrNull(key String) : JMe...,public getPropertyOrNull(key String) : JMeterProperty,src/core/src/main/java/org/apache/jmeter/testelement/AbstractTestElement.java,Production Code
Apache JMeter,W2 (Post-release),9e158253,9e1582536d4b77c132ce33ce14d302c2f65e0b8c,https://github.com/apache/jmeter/commit/9e1582536d4b77c132ce33ce14d302c2f65e0b8c,Add Class Annotation,"Add Class Annotation @SuppressWarnings(""deprecation"") in class org.apache.jmeter.engine.util.Abstrac...","@SuppressWarnings(""deprecation""); org.apache.jmeter.engine.util.AbstractTransformer",src/core/src/main/java/org/apache/jmeter/engine/util/AbstractTransformer.java,Production Code
Apache JMeter,W2 (Post-release),9e158253,9e1582536d4b77c132ce33ce14d302c2f65e0b8c,https://github.com/apache/jmeter/commit/9e1582536d4b77c132ce33ce14d302c2f65e0b8c,Change Parameter Type,Change Parameter Type transform : ValueTransformer to transform : PropertyTransformer in method priv...,transform : PropertyTransformer,src/core/src/main/java/org/apache/jmeter/engine/util/ValueReplacer.java,Production Code
Apache JMeter,W2 (Post-release),9e158253,9e1582536d4b77c132ce33ce14d302c2f65e0b8c,https://github.com/apache/jmeter/commit/9e1582536d4b77c132ce33ce14d302c2f65e0b8c,Remove Thrown Exception Type,Remove Thrown Exception Type InvalidVariableException in method private replaceValues(iter PropertyI...,"private replaceValues(iter PropertyIterator, transform PropertyTransformer) : Collection<JMeterPrope...",src/core/src/main/java/org/apache/jmeter/engine/util/ValueReplacer.java,Production Code
Apache JMeter,W2 (Post-release),9e158253,9e1582536d4b77c132ce33ce14d302c2f65e0b8c,https://github.com/apache/jmeter/commit/9e1582536d4b77c132ce33ce14d302c2f65e0b8c,Add Class Annotation,Add Class Annotation @Deprecated in class org.apache.jmeter.engine.util.ValueTransformer,@Deprecated; org.apache.jmeter.engine.util.ValueTransformer,src/core/src/main/java/org/apache/jmeter/engine/util/ValueTransformer.java,Production Code
Apache JMeter,W2 (Post-release),9e158253,9e1582536d4b77c132ce33ce14d302c2f65e0b8c,https://github.com/apache/jmeter/commit/9e1582536d4b77c132ce33ce14d302c2f65e0b8c,Add Class Annotation,"Add Class Annotation @API(status = API.Status.DEPRECATED, since = ""5.6"") in class org.apache.jmeter....","@API(status = API.Status.DEPRECATED, since = ""5.6""); org.apache.jmeter.engine.util.ValueTransformer",src/core/src/main/java/org/apache/jmeter/engine/util/ValueTransformer.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Change Attribute Type,Change Attribute Type resetInterpreter : JCheckBox to resetInterpreter : JBooleanPropertyEditor in c...,resetInterpreter : JBooleanPropertyEditor,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/control/gui/BeanShellSamplerGui.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Add Attribute Modifier,Add Attribute Modifier final in attribute private resetInterpreter : JBooleanPropertyEditor from cla...,private resetInterpreter : JBooleanPropertyEditor,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/control/gui/BeanShellSamplerGui.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public FILENAME : String from class org.apache.jme...,@Deprecated; public FILENAME : String,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public SCRIPT : String from class org.apache.jmete...,@Deprecated; public SCRIPT : String,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public PARAMETERS : String from class org.apache.j...,@Deprecated; public PARAMETERS : String,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public INIT_FILE : String from class org.apache.jm...,@Deprecated; public INIT_FILE : String,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,Production Code
Apache JMeter,W2 (Post-release),f3ed1db1,f3ed1db13946a70d5d007a5459c06717b86ff933,https://github.com/apache/jmeter/commit/f3ed1db13946a70d5d007a5459c06717b86ff933,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public RESET_INTERPRETER : String from class org.a...,@Deprecated; public RESET_INTERPRETER : String,src/protocol/java/src/main/java/org/apache/jmeter/protocol/java/sampler/BeanShellSampler.java,Production Code
Apache JMeter,W2 (Post-release),ac1bcf4b,ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,https://github.com/apache/jmeter/commit/ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public NUM_THREADS : String from class org.apache....,@Deprecated; public NUM_THREADS : String,src/core/src/main/java/org/apache/jmeter/threads/AbstractThreadGroup.java,Production Code
Apache JMeter,W2 (Post-release),ac1bcf4b,ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,https://github.com/apache/jmeter/commit/ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public IS_SAME_USER_ON_NEXT_ITERATION : String fro...,@Deprecated; public IS_SAME_USER_ON_NEXT_ITERATION : String,src/core/src/main/java/org/apache/jmeter/threads/AbstractThreadGroup.java,Production Code
Apache JMeter,W2 (Post-release),ac1bcf4b,ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,https://github.com/apache/jmeter/commit/ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,Add Attribute Annotation,Add Attribute Annotation @Deprecated in attribute public DELAYED_START : String from class org.apach...,@Deprecated; public DELAYED_START : String,src/core/src/main/java/org/apache/jmeter/threads/ThreadGroup.java,Production Code
Apache JMeter,W2 (Post-release),ac1bcf4b,ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,https://github.com/apache/jmeter/commit/ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,Change Attribute Type,Change Attribute Type delayedStart : JCheckBox to delayedStart : JBooleanPropertyEditor in class org...,delayedStart : JBooleanPropertyEditor,src/core/src/main/java/org/apache/jmeter/threads/gui/ThreadGroupGui.java,Production Code
Apache JMeter,W2 (Post-release),ac1bcf4b,ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,https://github.com/apache/jmeter/commit/ac1bcf4bf0d7007fef90b8142d3ae6a97d8d132f,Change Attribute Type,Change Attribute Type sameUserBox : JCheckBox to sameUserBox : JBooleanPropertyEditor in class org.a...,sameUserBox : JBooleanPropertyEditor,src/core/src/main/java/org/apache/jmeter/threads/gui/ThreadGroupGui.java,Production Code
Apache JMeter,W2 (Post-release),96b5d5c4,96b5d5c4b67bb46bb4a374b4a089aef48f08f2db,https://github.com/apache/jmeter/commit/96b5d5c4b67bb46bb4a374b4a089aef48f08f2db,Change Attribute Type,Change Attribute Type functionalMode : JCheckBox to functionalMode : JBooleanPropertyEditor in class...,functionalMode : JBooleanPropertyEditor,src/core/src/main/java/org/apache/jmeter/control/gui/TestPlanGui.java,Production Code
Apache JMeter,W2 (Post-release),96b5d5c4,96b5d5c4b67bb46bb4a374b4a089aef48f08f2db,https://github.com/apache/jmeter/commit/96b5d5c4b67bb46bb4a374b4a089aef48f08f2db,Change Attribute Type,Change Attribute Type serializedMode : JCheckBox to serializedMode : JBooleanPropertyEditor in class...,serializedMode : JBooleanPropertyEditor,src/core/src/main/java/org/apache/jmeter/control/gui/TestPlanGui.java,Production Code
Apache JMeter,W2 (Post-release),96b5d5c4,96b5d5c4b67bb46bb4a374b4a089aef48f08f2db,https://github.com/apache/jmeter/commit/96b5d5c4b67bb46bb4a374b4a089aef48f08f2db,Change Attribute Type,Change Attribute Type tearDownOnShutdown : JCheckBox to tearDownOnShutdown : JBooleanPropertyEditor ...,tearDownOnShutdown : JBooleanPropertyEditor,src/core/src/main/java/org/apache/jmeter/control/gui/TestPlanGui.java,Production Code
Apache JMeter,W2 (Post-release),5bb56691,5bb56691f93bb7c6b6bee03a2f9a66a562199f51,https://github.com/apache/jmeter/commit/5bb56691f93bb7c6b6bee03a2f9a66a562199f51,Change Attribute Type,Change Attribute Type useKeepAlive : JCheckBox to useKeepAlive : JBooleanPropertyEditor in class org...,useKeepAlive : JBooleanPropertyEditor,src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/config/gui/UrlConfigGui.java,Production Code
Apache JMeter,W2 (Post-release),5bb56691,5bb56691f93bb7c6b6bee03a2f9a66a562199f51,https://github.com/apache/jmeter/commit/5bb56691f93bb7c6b6bee03a2f9a66a562199f51,Change Attribute Type,Change Attribute Type useMultipart : JCheckBox to useMultipart : JBooleanPropertyEditor in class org...,useMultipart : JBooleanPropertyEditor,src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/config/gui/UrlConfigGui.java,Production Code
Apache JMeter,W2 (Post-release),5bb56691,5bb56691f93bb7c6b6bee03a2f9a66a562199f51,https://github.com/apache/jmeter/commit/5bb56691f93bb7c6b6bee03a2f9a66a562199f51,Change Attribute Type,Change Attribute Type useBrowserCompatibleMultipartMode : JCheckBox to useBrowserCompatibleMultipart...,useBrowserCompatibleMultipartMode : JBooleanPropertyEditor,src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/config/gui/UrlConfigGui.java,Production Code
Apache JMeter,W2 (Post-release),cabc3fbe,cabc3fbe15a71300c9b11fab19d13ff0c4d7373e,https://github.com/apache/jmeter/commit/cabc3fbe15a71300c9b11fab19d13ff0c4d7373e,Move Source Folder,Move Source Folder src/core/src/test to src/core/src/testFixtures,N/A,N/A,Production Code
Apache JMeter,W2 (Post-release),cabc3fbe,cabc3fbe15a71300c9b11fab19d13ff0c4d7373e,https://github.com/apache/jmeter/commit/cabc3fbe15a71300c9b11fab19d13ff0c4d7373e,Move Source Folder,Move Source Folder src/core/src/test to src/jorphan/src/testFixtures,N/A,N/A,Production Code
Apache JMeter,W2 (Post-release),ef61d4eb,ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,https://github.com/apache/jmeter/commit/ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,Change Return Type,Change Return Type HashTree to ListedHashTree in method public createNewTree() : ListedHashTree from...,ListedHashTree; public createNewTree() : ListedHashTree,src/jorphan/src/main/java/org/apache/jorphan/collections/ListedHashTree.java,Production Code
Apache JMeter,W2 (Post-release),ef61d4eb,ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,https://github.com/apache/jmeter/commit/ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,Change Return Type,Change Return Type HashTree to ListedHashTree in method public createNewTree(key Object) : ListedHas...,ListedHashTree; public createNewTree(key Object) : ListedHashTree,src/jorphan/src/main/java/org/apache/jorphan/collections/ListedHashTree.java,Production Code
Apache JMeter,W2 (Post-release),ef61d4eb,ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,https://github.com/apache/jmeter/commit/ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,Change Return Type,Change Return Type HashTree to ListedHashTree in method public createNewTree(values Collection<?>) :...,ListedHashTree; public createNewTree(values Collection<?>) : ListedHashTree,src/jorphan/src/main/java/org/apache/jorphan/collections/ListedHashTree.java,Production Code
Apache JMeter,W2 (Post-release),ef61d4eb,ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,https://github.com/apache/jmeter/commit/ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,Change Variable Type,Change Variable Type newTree : HashTree to newTree : ListedHashTree in method public add(key Object)...,newTree : ListedHashTree,src/jorphan/src/main/java/org/apache/jorphan/collections/ListedHashTree.java,Production Code
Apache JMeter,W2 (Post-release),ef61d4eb,ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,https://github.com/apache/jmeter/commit/ef61d4eb0e7c9c08b8fa5ad73386a4ac17be804a,Change Return Type,Change Return Type HashTree to ListedHashTree in method public add(key Object) : ListedHashTree from...,ListedHashTree; public add(key Object) : ListedHashTree,src/jorphan/src/main/java/org/apache/jorphan/collections/ListedHashTree.java,Production Code
Apache JMeter,W2 (Post-release),76b7f350,76b7f3500b347f1cdc1c0fac0f7eb5fe4fe9ba04,https://github.com/apache/jmeter/commit/76b7f3500b347f1cdc1c0fac0f7eb5fe4fe9ba04,Inline Method,Inline Method private setContinueForeverPrivate(forever boolean) : void inlined to public LoopContro...,public LoopController(),src/core/src/main/java/org/apache/jmeter/control/LoopController.java,Production Code
