Project,Window,Commit SHA,Full SHA,Commit URL,Refactoring Type,Description,Affected Code Entities,File Path,Code Location
JFreeChart,W1 (Pre-release),940ec41c,940ec41cd02233c861cdd8f9a9184d07aeb1b025,https://github.com/jfree/jfreechart/commit/940ec41cd02233c861cdd8f9a9184d07aeb1b025,Extract Variable,Extract Variable baos : ByteArrayOutputStream in method package testWriteBufferedImage() : void from...,baos : ByteArrayOutputStream,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Rename Method,Rename Method package throwExceptionWithNullInputs() : void renamed to package throwsExceptionIfForm...,package throwsExceptionIfFormatIsInvalid() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Rename Method,Rename Method package writeBufferedImage_throwExceptionWithAllNulls() : void renamed to package writ...,package writeBufferedImage_throwsExceptionWithAllNulls() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Rename Method,Rename Method package writeBufferedImage_throwExceptionWithNullFormat() : void renamed to package wr...,package writeBufferedImage_throwsExceptionWhenFormatIsNull() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Rename Method,Rename Method package writeBufferedImage_throwExceptionWhenNullOutputStream() : void renamed to pack...,package writeBufferedImage_throwsExceptionWhenOutputStreamIsNull() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Add Attribute Modifier,Add Attribute Modifier final in attribute private defaultFormat : String from class org.jfree.chart....,private defaultFormat : String,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Move Code,Move Code from package testWriteBufferedImage() : void to package setUp() : void in class org.jfree....,package setUp() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Add Thrown Exception Type,Add Thrown Exception Type IOException in method package setUp() : void from class org.jfree.chart.en...,IOException; package setUp() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Extract Attribute,Extract Attribute private defaultQualityLevel : float in class org.jfree.chart.encoders.EncoderUtilT...,private defaultQualityLevel : float,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Replace Variable With Attribute,Replace Variable With Attribute baos : ByteArrayOutputStream to baos : ByteArrayOutputStream in meth...,baos : ByteArrayOutputStream,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Remove Thrown Exception Type,Remove Thrown Exception Type IOException in method package writeBufferedImage_throwExceptionWithAllN...,package writeBufferedImage_throwsExceptionWithAllNulls() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),321f7f5c,321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,https://github.com/jfree/jfreechart/commit/321f7f5cbf8ffe618f5f17589c79b8f92d5bc235,Remove Thrown Exception Type,Remove Thrown Exception Type IOException in method package writeBufferedImage_throwExceptionWhenNull...,package writeBufferedImage_throwsExceptionWhenOutputStreamIsNull() : void,src/test/java/org/jfree/chart/encoders/EncoderUtilTest.java,Test Code
JFreeChart,W1 (Pre-release),e89a2fbb,e89a2fbb2ab1fded237f7805d9dbbaedbbd7f815,https://github.com/jfree/jfreechart/commit/e89a2fbb2ab1fded237f7805d9dbbaedbbd7f815,Add Parameter,"Add Parameter padding : RectangleInsets in method private calculateLabelPoint(line Line2D, anchor Re...","padding : RectangleInsets; private calculateLabelPoint(line Line2D, anchor RectangleAnchor, deltaX d...",src/main/java/org/jfree/chart/swing/CrosshairOverlay.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Attribute Type,Change Attribute Type symbols : List to symbols : List<String> in class org.jfree.chart.axis.SymbolA...,symbols : List<String>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Variable Type,"Change Variable Type ticks : List to ticks : List<Tick> in method public refreshTicks(g2 Graphics2D,...",ticks : List<Tick>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Return Type,"Change Return Type List to List<Tick> in method public refreshTicks(g2 Graphics2D, state AxisState, ...","List<Tick>; public refreshTicks(g2 Graphics2D, state AxisState, dataArea Rectangle2D, edge Rectangle...",src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Variable Type,Change Variable Type ticks : List to ticks : List<Tick> in method protected refreshTicksHorizontal(g...,ticks : List<Tick>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Return Type,"Change Return Type List to List<Tick> in method protected refreshTicksHorizontal(g2 Graphics2D, data...","List<Tick>; protected refreshTicksHorizontal(g2 Graphics2D, dataArea Rectangle2D, edge RectangleEdge...",src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Variable Type,Change Variable Type ticks : List to ticks : List<Tick> in method protected refreshTicksVertical(g2 ...,ticks : List<Tick>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Return Type,"Change Return Type List to List<Tick> in method protected refreshTicksVertical(g2 Graphics2D, dataAr...","List<Tick>; protected refreshTicksVertical(g2 Graphics2D, dataArea Rectangle2D, edge RectangleEdge) ...",src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Parameter Type,Change Parameter Type ticks : List to ticks : List<? extends Tick> in method protected drawGridBands...,ticks : List<? extends Tick>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Variable Type,Change Variable Type iterator : Iterator to iterator : Iterator<? extends Tick> in method protected ...,iterator : Iterator<? extends Tick>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
JFreeChart,W1 (Pre-release),21341055,21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,https://github.com/jfree/jfreechart/commit/21341055c0e31d47d18b60ec6ce0ebdce3a87e0f,Change Parameter Type,Change Parameter Type ticks : List to ticks : List<? extends Tick> in method protected drawGridBands...,ticks : List<? extends Tick>,src/main/java/org/jfree/chart/axis/SymbolAxis.java,Production Code
